Bill_No,B_Code,Receivable,Collected,Adjustment,sequence
10261358,7,1010,1010,0,2586810
10261359,7,703.75,703.75,0,2586811
10261359,10,70.4,70.4,0,2590819
10261360,3,770.73,770.73,0,2586813
10261360,7,636.25,604.44,-31.81,2586812
10261360,10,60.45,60.45,0,2590820
10261361,7,200,200,0,2586814
10261361,10,20,20,0,2590821
10261362,7,333.75,333.75,0,2586815
10261363,3,396.55,0,0,2586817
10261363,7,307,307,0,2586816
10261363,10,30.7,30.7,0,2590822
10261364,7,535,535,0,2586818
10261364,10,53.5,53.5,0,2590823
10261365,3,625.65,625.65,0,2586820
10261365,7,501.25,501.25,0,2586819
10261365,10,50.15,50.15,0,2590824
10261366,7,387.25,367.89,-19.36,2586821
10261366,10,36.8,36.8,0,2590825
10261367,7,253.5,253.5,0,2586822
10261368,7,226.75,226.75,0,2586823
10261369,7,226.75,226.75,0,2586824
10261369,10,22.7,22.7,0,2590826
10261370,7,253.5,253.5,0,2586825
10261371,3,220,0,0,2586827
10261371,7,226.75,226.75,0,2586826
10261371,10,22.7,22.7,0,2590827
10261372,3,956.49,956.49,0,2586829
10261372,7,467.5,446.31,-21.19,2586828
10261372,10,40.3,40.3,0,2590828
10261373,7,928,928,0,2586830
10261373,10,92.8,92.8,0,2590829
10261374,3,220,0,0,2586832
10261374,7,200,200,0,2586831
10261374,10,20,20,0,2590830
10261375,3,975.7,975.7,0,2586834
10261375,7,737.5,737.5,0,2586833
10261375,10,73.75,73.75,0,2590831
