Bill_No,Acct_No,Bill_Date,Due_Date,B_Status,MR_Sys_No,Due_Penalty,Penalized,M_Penalty
10261216,111207726,12-1-2018,12-16-2018,2,344926,30,0,1
10261217,111207736,12-1-2018,12-16-2018,2,344935,44.1,1,1
10261218,111206590,12-1-2018,12-16-2018,2,344878,20,1,1
10261219,111206640,12-1-2018,12-16-2018,2,344879,20,0,1
10261220,111206700,12-1-2018,12-16-2018,2,344880,36.05,1,1
10261221,111206740,12-1-2018,12-16-2018,2,344881,39.35,1,1
10261222,111206760,12-1-2018,12-16-2018,2,344882,34.25,1,1
10261223,111206800,12-1-2018,12-16-2018,2,344883,38.75,0,1
10261224,111206820,12-1-2018,12-16-2018,2,344884,73.75,0,1
10261225,111206870,12-1-2018,12-16-2018,2,344886,44.1,1,1
10261226,111206890,12-1-2018,12-16-2018,2,344887,25.35,0,1
10261227,311204200,12-1-2018,12-16-2018,2,345000,20,1,1
10261228,111206860,12-1-2018,12-16-2018,2,344885,22.7,1,1
10261229,111206900,12-1-2018,12-16-2018,2,344888,20,0,1
10261230,111206910,12-1-2018,12-16-2018,2,344889,19,1,1
10261231,111207723,12-1-2018,12-16-2018,2,344923,60.25,0,1
10261232,111206990,12-1-2018,12-16-2018,2,344890,30,0,1
10261233,113207000,12-1-2018,12-16-2018,2,344962,35,0,1
10261234,113207020,12-1-2018,12-16-2018,2,344963,63.1,0,1
10261235,111203310,12-1-2018,12-16-2018,2,344820,35,0,1
10261236,111207743,12-1-2018,12-16-2018,2,345011,161,1,1
10261237,111207060,12-1-2018,12-16-2018,2,344891,70.4,1,1
10261238,111207070,12-1-2018,12-16-2018,2,344892,40,0,1
10261239,111203160,12-1-2018,12-16-2018,2,344811,177.4,1,1
10261240,111203316,12-1-2018,12-16-2018,2,344823,40,0,1
10261241,111207130,12-1-2018,12-16-2018,2,344893,38.75,0,1
10261242,111207180,12-1-2018,12-16-2018,2,344894,33.4,0,1
10261243,111207200,12-1-2018,12-16-2018,2,344896,44.1,0,1
10261244,111207210,12-1-2018,12-16-2018,2,344897,41.4,1,1
10261245,111207220,12-1-2018,12-16-2018,2,344898,135.45,0,1
10261246,111207190,12-1-2018,12-16-2018,2,344895,63.65,0,1
10261247,114207240,12-1-2018,12-16-2018,2,344974,391,0,1
10261248,114207250,12-1-2018,12-16-2018,2,344975,157.6,0,1
10261249,211200010,12-2-2018,12-17-2018,2,345014,28.05,1,1
10261250,111207729,12-2-2018,12-17-2018,2,345013,40,0,1
10261251,211207755,12-2-2018,12-17-2018,2,345468,20,0,1
